BuildingTypology,WeatherFile,Year,RefElectricity_EUI,RefFossilFuel_EUI,Electricity_AverageEmissionsIntensity,Electricity_MarginalEmissionsIntensity,PV_AverageEmissionsIntensity,PV_MarginalEmissionsIntensity
ApartmentMidRise,Atlanta,2022,37.31907044,0.538984619,5.107282082,7.664707757,1,1
ApartmentMidRise,Atlanta,2024,37.31907044,0.538984619,4.159148847,7.312572193,1,1
ApartmentMidRise,Atlanta,2026,37.31907044,0.538984619,4.234512439,6.084375999,1,1
ApartmentMidRise,Atlanta,2028,37.31907044,0.538984619,4.797929343,5.125382508,1,1
ApartmentMidRise,Atlanta,2030,37.31907044,0.538984619,4.606064825,4.736716992,1,1
ApartmentMidRise,Atlanta,2032,37.31907044,0.538984619,4.416833096,4.655429624,1,1
ApartmentMidRise,Atlanta,2034,37.31907044,0.538984619,4.336533024,5.312639645,1,1
ApartmentMidRise,Atlanta,2036,37.31907044,0.538984619,4.34969697,4.886785981,1,1
ApartmentMidRise,Atlanta,2038,37.31907044,0.538984619,4.15585786,4.505360635,1,1
ApartmentMidRise,Atlanta,2040,37.31907044,0.538984619,3.98900484,4.17790747,1,1
ApartmentMidRise,Atlanta,2042,37.31907044,0.538984619,3.645754939,4.949972923,1,1
ApartmentMidRise,Atlanta,2044,37.31907044,0.538984619,3.395969057,5.737506013,1,1
ApartmentMidRise,Atlanta,2046,37.31907044,0.538984619,3.004341654,5.786212614,1,1
ApartmentMidRise,Atlanta,2048,37.31907044,0.538984619,3.089907305,5.268211326,1,1
ApartmentMidRise,Atlanta,2050,37.31907044,0.538984619,2.621270815,4.735729696,1,1
ApartmentMidRise,Denver,2022,38.01076737,3.4247981,7.270776663,7.000257566,1,1
ApartmentMidRise,Denver,2024,38.01076737,3.4247981,5.682875636,5.089510754,1,1
ApartmentMidRise,Denver,2026,38.01076737,3.4247981,5.901397145,3.057984735,1,1
ApartmentMidRise,Denver,2028,38.01076737,3.4247981,5.501871373,2.511022765,1,1
ApartmentMidRise,Denver,2030,38.01076737,3.4247981,4.620216067,3.52300114,1,1
ApartmentMidRise,Denver,2032,38.01076737,3.4247981,4.778183423,3.48120561,1,1
ApartmentMidRise,Denver,2034,38.01076737,3.4247981,4.388201513,3.024087573,1,1
ApartmentMidRise,Denver,2036,38.01076737,3.4247981,4.157503353,2.084840002,1,1
ApartmentMidRise,Denver,2038,38.01076737,3.4247981,3.662538971,2.138483083,1,1
ApartmentMidRise,Denver,2040,38.01076737,3.4247981,3.274202554,1.412491442,1,1
ApartmentMidRise,Denver,2042,38.01076737,3.4247981,2.942471106,1.42532629,1,1
ApartmentMidRise,Denver,2044,38.01076737,3.4247981,2.761137745,1.536890735,1,1
ApartmentMidRise,Denver,2046,38.01076737,3.4247981,2.39452184,1.943656677,1,1
ApartmentMidRise,Denver,2048,38.01076737,3.4247981,2.403078405,2.300728722,1,1
ApartmentMidRise,Denver,2050,38.01076737,3.4247981,1.967351781,2.424469817,1,1
ApartmentMidRise,LosAngeles,2022,36.1973087,0.102182501,3.062263018,3.706638191,1,1
ApartmentMidRise,LosAngeles,2024,36.1973087,0.102182501,2.939180119,2.959913335,1,1
ApartmentMidRise,LosAngeles,2026,36.1973087,0.102182501,2.667015529,2.034158808,1,1
ApartmentMidRise,LosAngeles,2028,36.1973087,0.102182501,2.396167333,1.32725489,1,1
ApartmentMidRise,LosAngeles,2030,36.1973087,0.102182501,2.018032974,1.846243474,1,1
ApartmentMidRise,LosAngeles,2032,36.1973087,0.102182501,1.891329991,1.832421331,1,1
ApartmentMidRise,LosAngeles,2034,36.1973087,0.102182501,1.764627007,2.06805597,1,1
ApartmentMidRise,LosAngeles,2036,36.1973087,0.102182501,1.636936728,1.52339769,1,1
ApartmentMidRise,LosAngeles,2038,36.1973087,0.102182501,1.474691089,1.591521113,1,1
ApartmentMidRise,LosAngeles,2040,36.1973087,0.102182501,1.321002015,1.24629662,1,1
ApartmentMidRise,LosAngeles,2042,36.1973087,0.102182501,1.207462978,0.933652894,1,1
ApartmentMidRise,LosAngeles,2044,36.1973087,0.102182501,1.042255452,0.622654662,1,1
ApartmentMidRise,LosAngeles,2046,36.1973087,0.102182501,0.926412724,0.457447135,1,1
ApartmentMidRise,LosAngeles,2048,36.1973087,0.102182501,0.854998315,0.463370911,1,1
ApartmentMidRise,LosAngeles,2050,36.1973087,0.102182501,0.786216695,0.378792556,1,1
ApartmentMidRise,Minneapolis,2022,38.29036564,6.111861003,4.623177955,7.084506822,1,1
ApartmentMidRise,Minneapolis,2024,38.29036564,6.111861003,4.492196689,5.856310629,1,1
